Location,date,Vaccines_numbers,list_of_vaccines,source_url
AUS,2021-02-21,vaccine_1,V25,https://covidbaseau.com/
AUS,2021-02-22,vaccine_1,V25,https://covidbaseau.com/
AUS,2021-02-23,vaccine_1,V25,https://covidbaseau.com/
AUS,2021-02-24,vaccine_1,V25,https://covidbaseau.com/
AUS,2021-02-25,vaccine_1,V25,https://covidbaseau.com/
AUS,2021-02-26,vaccine_1,V25,https://covidbaseau.com/
AUS,2021-02-27,vaccine_1,V25,https://covidbaseau.com/
AUS,2021-02-28,vaccine_1,V25,https://covidbaseau.com/
AUS,2021-03-01,vaccine_1,V25,https://covidbaseau.com/
AUS,2021-03-02,vaccine_1,V25,https://covidbaseau.com/
AUS,2021-03-03,vaccine_1,V25,https://covidbaseau.com/
AUS,2021-03-04,vaccine_1,V25,https://covidbaseau.com/
AUS,2021-03-05,vaccine_1,V25,https://covidbaseau.com/
AUS,2021-03-06,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-06,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-06,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-07,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-07,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-07,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-08,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-08,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-08,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-09,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-09,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-09,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-10,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-10,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-10,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-11,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-11,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-11,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-12,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-12,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-12,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-13,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-13,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-13,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-14,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-14,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-14,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-15,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-15,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-15,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-16,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-16,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-16,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-17,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-17,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-17,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-18,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-18,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-18,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-19,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-19,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-19,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-20,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-20,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-20,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-21,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-21,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-21,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-22,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-22,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-22,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-23,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-23,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-23,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-24,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-24,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-24,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-25,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-25,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-25,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-26,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-26,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-26,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-27,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-27,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-27,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-28,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-28,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-28,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-29,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-29,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-29,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-30,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-30,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-30,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-03-31,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-03-31,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-03-31,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-01,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-01,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-01,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-02,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-02,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-02,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-03,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-03,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-03,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-04,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-04,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-04,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-05,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-05,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-05,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-06,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-06,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-06,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-07,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-07,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-07,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-08,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-08,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-08,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-09,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-09,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-09,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-10,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-10,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-10,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-11,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-11,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-11,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-12,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-12,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-12,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-13,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-13,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-13,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-14,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-14,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-14,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-15,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-15,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-15,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-16,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-16,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-16,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-17,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-17,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-17,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-18,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-18,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-18,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-19,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-19,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-19,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-20,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-20,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-20,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-21,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-21,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-21,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-22,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-22,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-22,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-23,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-23,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-23,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-24,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-24,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-24,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-25,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-25,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-25,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-26,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-26,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-26,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-27,vaccine_1,V22,https://covidbaseau.com/
AUS,2021-04-27,vaccine_2,V24,https://covidbaseau.com/
AUS,2021-04-27,vaccine_3,V25,https://covidbaseau.com/
AUS,2021-04-28,vaccine_1,V22,https://covidbaseau.com/
