location,date,Vaccines_numbers,list_of_vaccines,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
ITA,2020-12-27,vaccine_1,V22,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv,7353,7353,0,0
ITA,2020-12-27,vaccine_2,V25,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv,7353,7353,0,0
ITA,2020-12-28,vaccine_1,V22,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv,8858,8858,0,0
ITA,2020-12-28,vaccine_2,V25,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv,8858,8858,0,0
ITA,2020-12-29,vaccine_1,V22,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv,9957,9957,0,0
ITA,2020-12-29,vaccine_2,V25,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv,9957,9957,0,0
ITA,2020-12-30,vaccine_1,V22,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv,14848,14848,0,0
ITA,2020-12-30,vaccine_2,V25,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv,14848,14848,0,0
ITA,2020-12-31,vaccine_1,V22,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv,40813,40813,0,0
ITA,2020-12-31,vaccine_2,V25,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv,40813,40813,0,0
ITA,2021-01-01,vaccine_1,V22,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv,52102,52102,0,0
ITA,2021-01-01,vaccine_2,V25,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv,52102,52102,0,0
ITA,2021-01-02,vaccine_1,V22,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv,91195,91195,0,0
ITA,2021-01-02,vaccine_2,V25,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv,91195,91195,0,0
