location,date,vaccine,total_vaccinations,,,,
ARG,2020-12-29,V24,1,,,,
ARG,2020-12-29,V27,1,,,,
ARG,2020-12-29,V09,20488,,,,
ARG,2020-12-30,V09,40590,,,,
ARG,2020-12-31,V09,43396,,,,
ARG,2021-01-01,V24,3,,,,
ARG,2021-01-01,V09,43521,,,,
ARG,2021-01-02,V24,4,,,,
ARG,2021-01-02,V25,1,,,,
ARG,2021-01-02,V09,46831,,,,
ARG,2021-01-03,V25,2,,,,
ARG,2021-01-03,V09,47274,,,,
ARG,2021-01-04,V09,57735,,,,
ARG,2021-01-05,V27,5,,,,
ARG,2021-01-05,V09,68460,,,,
ARG,2021-01-06,V24,5,,,,
ARG,2021-01-06,V25,3,,,,
ARG,2021-01-06,V27,8,,,,
ARG,2021-01-06,V09,78567,,,,
ARG,2021-01-07,V24,6,,,,
ARG,2021-01-07,V25,4,,,,
ARG,2021-01-07,V27,9,,,,
ARG,2021-01-07,V09,96790,,,,
ARG,2021-01-08,V09,124683,,,,
ARG,2021-01-09,V25,5,,,,
ARG,2021-01-09,V27,10,,,,
ARG,2021-01-09,V09,134890,,,,
ARG,2021-01-10,V25,7,,,,
ARG,2021-01-10,V27,11,,,,
ARG,2021-01-10,V09,136064,,,,
ARG,2021-01-11,V24,7,,,,
ARG,2021-01-11,V27,13,,,,
ARG,2021-01-11,V09,155887,,,,
ARG,2021-01-12,V24,9,,,,
ARG,2021-01-12,V25,8,,,,
ARG,2021-01-12,V27,16,,,,
ARG,2021-01-12,V09,175273,,,,
ARG,2021-01-13,V24,10,,,,
ARG,2021-01-13,V27,20,,,,
ARG,2021-01-13,V09,192042,,,,
ARG,2021-01-14,V25,9,,,,
ARG,2021-01-14,V27,21,,,,
ARG,2021-01-14,V09,208692,,,,
ARG,2021-01-15,V09,226137,,,,
ARG,2021-01-16,V09,232021,,,,
ARG,2021-01-17,V09,233083,,,,
ARG,2021-01-18,V25,10,,,,
ARG,2021-01-18,V09,242914,,,,
ARG,2021-01-19,V27,22,,,,
ARG,2021-01-19,V09,256162,,,,
ARG,2021-01-20,V09,275590,,,,
ARG,2021-01-21,V24,15,,,,
ARG,2021-01-21,V27,24,,,,
ARG,2021-01-21,V09,289702,,,,
ARG,2021-01-22,V24,18,,,,
ARG,2021-01-22,V27,25,,,,
ARG,2021-01-22,V09,298918,,,,
ARG,2021-01-23,V24,23,,,,
ARG,2021-01-23,V09,302858,,,,
ARG,2021-01-24,V24,24,,,,
ARG,2021-01-24,V09,303160,,,,
ARG,2021-01-25,V24,32,,,,
ARG,2021-01-25,V09,317367,,,,
ARG,2021-01-26,V24,70,,,,
ARG,2021-01-26,V27,26,,,,
ARG,2021-01-26,V09,330143,,,,
ARG,2021-01-27,V24,72,,,,
ARG,2021-01-27,V09,340250,,,,
ARG,2021-01-28,V09,356297,,,,
ARG,2021-01-29,V24,73,,,,
ARG,2021-01-29,V09,379800,,,,
ARG,2021-01-30,V09,389114,,,,
ARG,2021-01-31,V27,27,,,,
ARG,2021-01-31,V09,389737,,,,
ARG,2021-02-01,V24,92,,,,
ARG,2021-02-01,V27,28,,,,
ARG,2021-02-01,V09,409247,,,,
ARG,2021-02-02,V24,125,,,,
ARG,2021-02-02,V09,433092,,,,
ARG,2021-02-03,V24,133,,,,
ARG,2021-02-03,V27,31,,,,
ARG,2021-02-03,V09,459699,,,,
ARG,2021-02-04,V24,138,,,,
ARG,2021-02-04,V27,54,,,,
ARG,2021-02-04,V09,487809,,,,
ARG,2021-02-05,V14,2,,,,
ARG,2021-02-05,V24,143,,,,
ARG,2021-02-05,V27,61,,,,
ARG,2021-02-05,V09,520839,,,,
ARG,2021-02-06,V27,65,,,,
ARG,2021-02-06,V09,531763,,,,
ARG,2021-02-07,V27,69,,,,
ARG,2021-02-07,V09,533143,,,,
ARG,2021-02-08,V24,145,,,,
ARG,2021-02-08,V27,70,,,,
ARG,2021-02-08,V09,556569,,,,
ARG,2021-02-09,V24,147,,,,
ARG,2021-02-09,V27,76,,,,
ARG,2021-02-09,V09,576760,,,,
ARG,2021-02-10,V24,150,,,,
ARG,2021-02-10,V27,81,,,,
ARG,2021-02-10,V09,592380,,,,
ARG,2021-02-11,V24,153,,,,
ARG,2021-02-11,V27,87,,,,
ARG,2021-02-11,V09,610228,,,,
ARG,2021-02-12,V24,154,,,,
ARG,2021-02-12,V27,88,,,,
ARG,2021-02-12,V09,626068,,,,
ARG,2021-02-13,V24,156,,,,
ARG,2021-02-13,V27,90,,,,
ARG,2021-02-13,V09,629100,,,,
ARG,2021-02-14,V27,92,,,,
ARG,2021-02-14,V09,629250,,,,
ARG,2021-02-15,V25,11,,,,
ARG,2021-02-15,V27,94,,,,
ARG,2021-02-15,V09,630565,,,,
ARG,2021-02-16,V24,168,,,,
ARG,2021-02-16,V25,12,,,,
ARG,2021-02-16,V27,96,,,,
ARG,2021-02-16,V09,631863,,,,
ARG,2021-02-17,V24,179,,,,
